State,Plot,Entry,Genotype,envi,envi1,rep,SW,SL,CL,CW,CWT,DTA,DTS,EH,EL,EW,EWT,GWT,KD,KH,KRN,KW,LNA,LNB,PHt,PHt14,PHt21,PHt28,PHt35,PHt42,PHt49,PHt56,PHt63,PHt70
Minnesota,101057,Inbred012,Mo17,X102,M_S1_H,1,8.340513333,11.15398667,173.1821389,19.30124834,11.48333333,83,85,106.4,172.7147083,29.45765,108.45,96.96666667,4.972032361,4.759060415,11,8.470670599,5.4,12.6,196,.,.,14.5,27.83333333,44.33333333,72.33333333,111.1666667,143.1666667,187.5
Minnesota,101053,Inbred014,B004,X102,M_S1_H,1,6.40842,11.50831667,125.1867222,26.03852778,16.1,83,85,99.5,120.6542333,35.15016041,124.9333333,108.8333333,4.259050833,4.679817707,18.66666667,5.863213594,6.4,14.16666667,195.4,.,.,14.83333333,26.33333333,50,78.33333333,105.5,137.3333333,175.3333333
Minnesota,101058,Inbred015,B040,X102,M_S1_H,1,6.938645,10.94888167,129.1201944,24.368125,18.7,82,80,79.5,130.1661806,30.86629167,101.1666667,82.46666667,5.001700972,2.793470835,16.66666667,5.387184175,5.6,13,181.8,.,.,17.5,31.33333333,54.83333333,81,113.1666667,146.8333333,192.1666667
Minnesota,101080,Inbred016,B043,X102,M_S1_H,1,6.691206667,10.97131833,114.4516945,21.9205175,11.18333333,83,84,86.66666667,110.9062778,.,87.35,76.16666667,4.209326806,.,14.66666667,.,5.333333333,13.83333333,159.1666667,.,.,11.33333333,20.4,34.66666667,54,82.16666667,111.3333333,160.1666667
Minnesota,101072,Inbred017,B049,X102,M_S1_H,1,7.05358,11.21537,125.7088334,29.06024584,23.425,88,87,101,125.3198958,38.42878889,132.575,109.15,4.472199167,4.493683333,16.5,7.028225022,6.25,14.75,181.75,.,.,11.33333333,19.66666667,33,59.33333333,87.5,121.1666667,169
Minnesota,101070,Inbred018,B055,X102,M_S1_H,1,6.680623333,12.573,128.17475,26.92117778,17.88333333,83,83,127.8333333,127.2046111,37.12492222,135.95,118.0666667,4.111131111,5.134680556,18.66666667,5.884123641,5.5,15.83333333,210.1666667,.,.,17,31.5,56.16666667,83.83333333,118.3333333,154.6666667,202
Minnesota,101052,Inbred019,B102,X102,M_S1_H,1,6.022128333,10.72007,117.7043056,26.31475278,15.8,83,83,90,115.4659306,34.14130417,92.88,78.58,3.984907222,3.88699375,18.33333333,5.805704566,5.75,15.16666667,173.5,.,.,15.5,26.16666667,48.16666667,73.16666667,103.5,139.8333333,177
Minnesota,101067,Inbred020,B107,X102,M_S1_H,1,6.572885,10.60280667,112.9523889,26.55076111,17.68333333,83,83,115.1666667,113.4057083,33.809305,107.7333333,90.05,3.910506389,3.633152499,16.66666667,6.490476353,6,15.33333333,200.8333333,.,.,17,33,56.83333333,85.5,123,159.8333333,197.5
Minnesota,101065,Inbred021,B111,X102,M_S1_H,1,6.047951667,10.71245,124.1072222,25.95103889,16.38333333,83,83,115.1666667,121.8282778,33.0454,113.2,96.81666667,4.17560125,3.377494446,19,5.390151913,6,15,194.1666667,.,.,17.5,32.83333333,56.83333333,83.33333333,115.6666667,152.8333333,196.1666667
Minnesota,101063,Inbred022,B122,X102,M_S1_H,1,6.192096667,11.48566833,128.0265833,28.34075556,19.5,83,83,108,126.0813667,37.32106667,156.1666667,136.6666667,4.030556667,4.017433335,20.33333333,5.329435858,6.6,14.66666667,210.5,.,.,13.83333333,26,47.33333333,69.83333333,97.66666667,124.1666667,171.4
Minnesota,101081,Inbred023,B123,X102,M_S1_H,1,7.718001667,10.14645333,108.3204167,27.22774167,.,91,91,133.8333333,105.9268194,.,.,.,5.917759028,.,17.33333333,.,6.166666667,16.16666667,227.6666667,.,.,15.33333333,26.33333333,45,73.66666667,104.8333333,145.8333333,197
Minnesota,101077,Inbred024,B125,X102,M_S1_H,1,6.850168333,11.59467667,140.7054167,25.17986667,20.96666667,83,83,135.8333333,139.5941667,35.07105,144.9,123.9333333,4.308933611,4.687358333,17.33333333,6.886184565,5.6,14.5,227.6,.,.,18.66666667,33.16666667,53.83333333,79.66666667,115.8333333,155.6666667,204.8333333
Minnesota,101073,Inbred025,B131,X102,M_S1_H,1,6.21919,11.73014333,135.5830833,26.94887083,20.125,83,83,101.8,133.7971458,36.63076875,147.825,127.7,3.868684584,4.840948958,18.5,6.232181514,5.6,15,188.6,.,.,15.66666667,31.16666667,57.16666667,82.5,116,151.8333333,191.3333333
Minnesota,101074,Inbred026,B154,X102,M_S1_H,1,6.51002,10.75838167,128.2558889,24.76217778,16.76666667,82,82,95.83333333,127.7267222,33.988375,123.1,106.3333333,3.786399167,4.204229165,17,5.932090512,5.333333333,13.83333333,181.5,.,.,16.16666667,33.5,58,83.33333333,113.5,144.6666667,185.8333333
Minnesota,101083,Inbred027,B175,X102,M_S1_H,1,6.898428333,11.29368667,112.522,24.945975,14.6,80,80,82.83333333,113.1534722,35.40266111,111.3833333,96.78333333,4.503666945,4.637616667,17,6.447088571,5.166666667,13.66666667,159.1666667,.,.,15.66666667,28.83333333,50.83333333,77.83333333,111.3333333,142.1666667,173.5
