Plot,State,Location,Density,Planting Date,Rep within Environment,Genotype,Kernel Width,Kernel Length,Cob Length,Cob Width,Cob Weight,Days to Anthesis,Days to Silk,Ear Height Maturity,Ear length,Ear Width,Ear Weight,Per Plant Grain Weight,Kernel Depth,Kernel Row Number,Leaf Number Above Ear,Leaf Number Below Ear,Plant Height Maturity,Plant Height 14 DAP,Plant Height 21 DAP,Plant Height 28 DAP,Plant Height 35 DAP,Plant Height 42 DAP,Plant Height 49 DAP,Plant Height 56 DAP,Plant Height 63 DAP,Plant Height 70 DAP
101057,Minnesota,St Paul - 1,High,5/5/15,Rep1,Mo17,8.340513333,11.15398667,173.1821389,19.30124834,11.48333333,83,85,106.4,172.7147083,29.45765,108.45,96.96666667,4.972032361,11,5.4,12.6,196,.,.,14.5,27.83333333,44.33333333,72.33333333,111.1666667,143.1666667,187.5
102053,Minnesota,St Paul - 1,High,5/5/15,Rep2,Mo17,7.775786667,10.71583667,144.4131111,17.69589778,9.116666667,82,85,104.3333333,144.6106667,29.82383333,74.16666667,65.05,5.266495972,11.66666667,5.666666667,12.33333333,201.1666667,.,.,17.66666667,29.33333333,50.66666667,80.66666667,118.5,152.3333333,192.3333333
103065,Minnesota,St Paul - 1,Low,5/5/15,Rep1,Mo17,8.204623333,11.028045,178.4858,20.309967,16.3,83,85,88.6,175.895,29.778325,112.6,96.3,4.822825,11.6,5.8,12.2,182.2,.,.,16.33333333,25.83333333,41.16666667,64.16666667,96,128.5,178.6
104076,Minnesota,St Paul - 1,Low,5/5/15,Rep2,Mo17,7.895378333,10.503535,176.4411,20.91050767,16.92,83,86,87,172.7581,26.28167633,94.2,77.28,5.606499667,11.6,5.2,12.5,183,.,.,12.5,23.83333333,43.83333333,64.83333333,99.33333333,134.3333333,177.8333333
105070,Minnesota,St Paul - 2,High,5/20/15,Rep1,Mo17,8.112548333,10.96306333,158.6018333,18.86707767,9.08,65,66,96.83333333,157.5011667,29.00299,104.84,95.76,4.940067167,11.2,5.166666667,11.83333333,185.6666667,.,19.66666667,32.16666667,48.66666667,90.5,125,171.3333333,191.8333333,.
106061,Minnesota,St Paul - 2,High,5/20/15,Rep2,Mo17,8.020896667,10.98528833,156.1994167,18.61615389,9.75,65,66,84,153.209625,28.6242125,101.6,91.85,4.855792084,11,5.666666667,11.5,177,.,19.83333333,32.33333333,53.83333333,88.16666667,117.5,155.6666667,177.6666667,.
107072,Minnesota,St Paul - 2,Low,5/20/15,Rep1,Mo17,8.579908333,11.30532833,182.3593,21.30679,18.58,76,76,79.5,180.1749,30.52529667,138.5,119.92,4.730474833,11.2,5,12,163.5,.,13.5,26.33333333,44.5,68.83333333,95.33333333,128.5,162.8333333,.
108071,Minnesota,St Paul - 2,Low,5/20/15,Rep2,Mo17,8.166735,11.62769667,170.7885417,20.084415,14.575,72,71,73.6,168.3676042,29.46982083,121.6,107.025,4.776602292,11.5,5.5,11.66666667,156.4,.,18.33333333,30.5,48.83333333,77.66666667,104.5,139.8333333,168.6,.
109059,Minnesota,Waseca,High,6/2/15,Rep1,Mo17,8.298815,10.895965,155.448,19.76250528,12.6,68,70,80.66666667,153.0491111,27.57064167,91.68333333,79.08333333,4.806032778,10.66666667,.,.,180.3333333,.,.,.,.,.,.,.,.,.
110062,Minnesota,Waseca,High,6/2/15,Rep2,Mo17,8.595783333,11.04857667,158.3901667,20.05562833,13,68,71,83.5,156.0724167,28.86568889,98.9,85.9,4.678944583,10.33333333,.,.,179.1666667,.,.,.,.,.,.,.,.,.
